userId,userLabelIndex,transcription,groundTruth,randomNoiseStandardDeviation,lowPassFreqCutoff,highPassFreqCutoff,synthName,encodingType
0,0,"is the air conditioner in the kitchen working properly","is the air conditioner in the kitchen working properly",0.3,300.0,2500.0,google,mp3
0,1,"in the thirty","are the sensors operating in the study",0.3,300.0,2500.0,espeak,mp3
0,2,"did i turn the dialing to loud","did i turn the dining room heat off",0.3,300.0,2500.0,google,mp3
0,3,"in the kitchen","why is the time wrong on the clock in the kitchen",0.3,300.0,2500.0,flite,mp3
0,4,"are the living room air conditioners not working correctly","are the living room air conditioners not working correctly",0.4,400.0,2000.0,google,mp3
0,5,"are the","are the gym thermometers on",0.4,400.0,2000.0,flite,mp3
0,6,"are the american vision","are the kitchen air-conditions on",0.4,400.0,2000.0,espeak,mp3
0,7,"what time","what time is on the hallway clock",0.4,400.0,2000.0,espeak,mp3
0,8,"eight hours ok","is alice okay",0.4,400.0,2000.0,google,mp3
0,9,"are the lights in the kitchen turned off","are the lights in the kitchen turned off",0.4,400.0,2000.0,flite,mp3
0,10,"is the bedroom thermometer still reading","does the bedroom thermometer show a reading",0.4,400.0,2000.0,google,mp3
0,11,"is the toaster being used in the kitchen","is the toaster being used in the kitchen",0.4,400.0,2000.0,flite,mp3
0,12,"is the kitchen light turned on","is the kitchen microwave turned on",0.3,300.0,2500.0,espeak,mp3
0,13,"is the broken","is the gym clock broken",0.4,400.0,2000.0,flite,mp3
0,14,"are the alarms in the living room broken","are the alarms in the livingroom broken",0.4,400.0,2000.0,espeak,mp3
0,15,"are the clocks in the living room running ok","are the clocks in the livingroom running okay",0.3,300.0,2500.0,flite,mp3
0,16,"can you hear the radio","can you hear the radio",0.5,500.0,1500.0,google,mp3
0,17,"is the in the hallway showing the light","is the clock in the hallway showing the right time",0.5,500.0,1500.0,flite,mp3
0,18,"are the working","are the home office boomboxes working",0.5,500.0,1500.0,google,mp3
0,19,"are the smoke detectors in the kitchen ok or not","are the smoke detectors in the kitchen okay or not",0.5,500.0,1500.0,flite,mp3
0,20,"blair","is someone toasting bread",0.5,500.0,1500.0,espeak,mp3
0,21,"can you see if the smoke detector in the kitchen is working","can you see if the smoke detector in the kitchen is working",0.5,500.0,1500.0,flite,mp3
0,22,"where can i find a","where can i find the clock",0.5,500.0,1500.0,google,mp3
0,23,"is the bedroom on","is the bedroom security alarm on",0.5,500.0,1500.0,flite,mp3
0,24,"is the flow detector in the living room functioning optimally","is the smoke detector in the living room functioning optimally",0.5,500.0,1500.0,google,mp3
0,25,"are the lights turned on","are the lights turned on",0.5,500.0,1500.0,flite,mp3
0,26,"is the in the kitchen working","is the blender in the kitchen working properly",0.3,300.0,2500.0,espeak,mp3
0,27,"what is the show on the television","what is the show on the television",0.3,300.0,2500.0,google,mp3
0,28,"hallway turned on","do you know whether the phone in the hallway is turned off",0.3,300.0,2500.0,espeak,mp3
0,29,"what in the country right now","what do the sensors in the gym say right now",0.3,300.0,2500.0,google,mp3
1,0,"if the ants in despair and the kitchen working properly","is the air conditioner in the kitchen working properly",0.3,300.0,2500.0,google,mp3
1,1,"","are the sensors operating in the study",0.3,300.0,2500.0,espeak,mp3
1,2,"did i turn the dining room heat off","did i turn the dining room heat off",0.3,300.0,2500.0,google,mp3
1,3,"in the kitchen","why is the time wrong on the clock in the kitchen",0.3,300.0,2500.0,flite,mp3
1,4,"the living room air conditioner is not working correctly","are the living room air conditioners not working correctly",0.4,400.0,2000.0,google,mp3
1,5,"","are the gym thermometers on",0.4,400.0,2000.0,flite,mp3
1,6,"air condition","are the kitchen air-conditions on",0.4,400.0,2000.0,espeak,mp3
1,7,"what time","what time is on the hallway clock",0.4,400.0,2000.0,espeak,mp3
1,8,"okay","is alice okay",0.4,400.0,2000.0,google,mp3
1,9,"are the lights in the kitchen turned off","are the lights in the kitchen turned off",0.4,400.0,2000.0,flite,mp3
1,10,"is the bedroom thermometer still reading","does the bedroom thermometer show a reading",0.4,400.0,2000.0,google,mp3
1,11,"in the kitchen","is the toaster being used in the kitchen",0.4,400.0,2000.0,flite,mp3
1,12,"is the kitchen microwave turned on","is the kitchen microwave turned on",0.3,300.0,2500.0,espeak,mp3
1,13,"is the broken","is the gym clock broken",0.4,400.0,2000.0,flite,mp3
1,14,"living room","are the alarms in the livingroom broken",0.4,400.0,2000.0,espeak,mp3
1,15,"five oclock","are the clocks in the livingroom running okay",0.3,300.0,2500.0,flite,mp3
1,16,"the radio","can you hear the radio",0.5,500.0,1500.0,google,mp3
1,17,"nighttime","is the clock in the hallway showing the right time",0.5,500.0,1500.0,flite,mp3
